model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,5,6,7,0,8,9,3,10,3,11,12	0.0005	0.987214	<1e-06	>500.25
0,1,2,3,4,5,6,4,0,7,8,9,10,9,0,11	0.000428571	0.987643	<1e-06	>428.755
0,1,2,3,4,5,6,7,8,9,6,10,3,11,12,13	0.000428571	0.988071	1.4e-05	30.6249
0,1,2,3,4,5,6,7,8,9,6,10,3,10,11,12	0.000428571	0.9885	<1e-06	>428.755
0,1,2,3,4,5,6,4,4,7,6,8,3,8,9,10	0.000428571	0.988929	<1e-06	>428.755
0,1,2,3,4,5,6,4,4,7,6,8,3,8,0,9	0.000428571	0.989357	<1e-06	>428.755
0,1,2,3,4,5,6,7,8,9,10,11,3,11,0,12	0.000428571	0.989786	<1e-06	>428.755
0,1,2,3,4,5,6,7,8,9,10,11,3,11,12,13	0.000428571	0.990214	1.8e-05	23.8193
0,1,2,3,4,5,6,7,7,8,9,3,10,3,0,11	0.000357143	0.990571	<1e-06	>357.27
0,1,2,3,4,5,6,4,4,7,6,8,9,8,10,11	0.000357143	0.990929	<1e-06	>357.27
0,1,2,3,4,5,6,4,4,7,6,3,8,9,0,10	0.000357143	0.991286	<1e-06	>357.27
0,1,2,3,4,5,6,7,0,8,6,3,9,10,0,11	0.000357143	0.991643	<1e-06	>357.27
0,1,2,3,4,5,6,7,8,9,6,10,3,10,8,11	0.000285714	0.991929	<1e-06	>285.796
0,1,2,3,4,5,6,7,0,8,9,3,10,11,0,12	0.000285714	0.992214	<1e-06	>285.796
0,1,2,3,4,5,6,7,0,8,6,9,10,9,11,12	0.000285714	0.9925	<1e-06	>285.796
0,1,2,3,4,5,6,7,7,8,6,3,9,3,10,11	0.000285714	0.992786	<1e-06	>285.796
0,1,2,3,4,5,6,7,0,8,9,10,11,3,0,12	0.000285714	0.993071	<1e-06	>285.796
0,1,2,3,4,5,6,4,7,8,9,10,11,12,7,13	0.000285714	0.993357	1.5e-05	19.0528
0,1,2,3,4,5,6,4,7,8,9,3,10,11,7,12	0.000214286	0.993571	<1e-06	>214.331
0,1,2,3,4,5,6,7,0,8,6,9,10,3,11,12	0.000214286	0.993786	1e-06	214.331
0,1,2,3,4,5,6,7,8,9,6,10,3,11,0,12	0.000214286	0.994	<1e-06	>214.331
0,1,2,3,4,5,6,4,4,7,8,9,10,9,0,11	0.000214286	0.994214	<1e-06	>214.331
0,1,2,3,4,5,6,4,0,7,6,8,9,8,10,11	0.000214286	0.994429	<1e-06	>214.331
0,1,2,3,4,5,6,7,8,9,10,11,3,12,0,13	0.000214286	0.994643	1.7e-05	12.6075
0,1,2,3,4,5,6,4,0,7,8,9,10,3,0,11	0.000214286	0.994857	<1e-06	>214.331
0,1,2,3,4,5,6,7,0,8,6,3,9,10,11,12	0.000214286	0.995071	1e-06	214.331
0,1,2,3,4,5,6,4,4,7,8,9,10,3,0,11	0.000142857	0.995214	<1e-06	>142.877
0,1,2,3,4,5,6,4,4,7,8,9,10,3,11,12	0.000142857	0.995357	<1e-06	>142.877
0,1,2,3,4,5,6,4,4,7,8,9,3,9,0,10	0.000142857	0.9955	<1e-06	>142.877
0,1,2,3,4,5,6,7,0,8,9,10,11,12,0,13	0.000142857	0.995643	2.9e-05	4.92667
0,1,2,3,4,5,6,7,8,9,7,3,10,3,0,11	0.000142857	0.995786	<1e-06	>142.877
0,1,2,3,4,5,6,4,4,7,8,3,9,10,0,11	0.000142857	0.995929	<1e-06	>142.877
0,1,2,3,4,5,6,4,4,7,6,8,9,10,0,11	0.000142857	0.996071	<1e-06	>142.877
0,1,2,3,4,5,6,7,0,8,9,10,11,10,12,13	0.000142857	0.996214	1.8e-05	7.9375
0,1,2,3,4,5,6,4,0,7,8,3,9,3,10,11	0.000142857	0.996357	<1e-06	>142.877
0,1,2,3,4,5,6,4,7,8,6,9,3,10,0,11	0.000142857	0.9965	<1e-06	>142.877
0,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14	0.000142857	0.996643	0.002145	0.0664667
0,1,2,3,4,5,6,7,4,8,6,9,3,9,10,11	0.000142857	0.996786	<1e-06	>142.877
0,1,2,3,4,5,6,7,4,8,7,3,9,3,0,10	0.000142857	0.996929	<1e-06	>142.877
0,1,2,3,4,5,6,4,7,8,9,10,3,10,11,12	0.000142857	0.997071	<1e-06	>142.877
0,1,2,3,4,5,6,7,7,8,9,3,10,3,11,12	0.000142857	0.997214	<1e-06	>142.877
0,1,2,3,4,5,6,7,4,8,9,10,3,10,0,11	0.000142857	0.997357	<1e-06	>142.877
0,1,2,3,4,5,6,7,7,8,6,9,10,9,0,11	0.000142857	0.9975	<1e-06	>142.877
0,1,2,3,4,5,6,4,7,8,9,10,3,10,0,11	0.000142857	0.997643	<1e-06	>142.877
0,1,2,3,4,5,6,7,8,9,10,11,3,12,13,14	0.000142857	0.997786	0.002136	0.0667474
