model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,5,6,7,7,8,6,9,10,11,12,13	7.14286e-05	0.998143	1.5e-05	4.76217
0,1,2,3,4,5,6,7,7,8,6,9,10,9,0,11	7.14286e-05	0.998214	<1e-06	>71.4336
0,1,2,3,4,5,6,7,7,8,6,3,9,3,10,11	7.14286e-05	0.998286	<1e-06	>71.4336
0,1,2,3,4,5,6,7,0,8,6,9,10,9,11,12	7.14286e-05	0.998357	1e-06	71.4336
0,1,2,3,4,5,6,4,4,7,8,9,10,9,11,12	7.14286e-05	0.998429	<1e-06	>71.4336
0,1,2,3,4,5,6,6,7,8,9,10,11,12,13,14	7.14286e-05	0.9985	0.002062	0.0345715
0,1,2,3,4,5,6,7,7,8,9,10,11,3,12,13	7.14286e-05	0.998571	1.3e-05	5.49483
0,1,2,3,4,5,6,4,4,7,8,3,9,10,11,12	7.14286e-05	0.998643	1e-06	71.4336
0,1,2,3,4,5,6,4,4,7,8,3,9,3,0,10	7.14286e-05	0.998714	<1e-06	>71.4336
0,1,2,3,4,5,6,4,4,7,6,8,9,8,0,10	7.14286e-05	0.998786	<1e-06	>71.4336
0,1,2,3,4,5,6,4,4,7,6,3,8,3,9,10	7.14286e-05	0.998857	<1e-06	>71.4336
0,1,2,3,4,5,6,4,0,7,8,9,10,11,12,13	7.14286e-05	0.998929	1.7e-05	4.20191
0,1,2,3,4,5,6,4,0,7,8,3,9,10,0,11	7.14286e-05	0.999	<1e-06	>71.4336
0,1,2,3,4,5,6,7,0,8,9,10,11,3,0,12	7.14286e-05	0.999071	<1e-06	>71.4336
0,1,2,3,4,5,6,7,7,8,9,3,10,3,11,12	7.14286e-05	0.999143	<1e-06	>71.4336
0,1,2,3,4,5,6,4,7,8,6,9,3,9,0,10	7.14286e-05	0.999214	<1e-06	>71.4336
0,1,2,3,4,5,6,7,7,8,9,10,11,10,12,13	7.14286e-05	0.999286	1.8e-05	3.96847
0,1,2,3,4,5,6,7,8,9,7,10,11,10,8,12	7.14286e-05	0.999357	<1e-06	>71.4336
0,1,2,3,4,5,6,7,0,8,9,10,11,3,12,13	7.14286e-05	0.999429	1.3e-05	5.49483
0,1,2,3,4,5,6,4,7,8,6,9,10,3,7,11	7.14286e-05	0.9995	<1e-06	>71.4336
0,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14	7.14286e-05	0.999571	0.002086	0.0341729
0,1,2,3,4,5,6,7,0,8,6,3,9,3,0,10	7.14286e-05	0.999643	<1e-06	>71.4336
0,1,2,3,4,5,6,4,0,7,6,3,8,3,0,9	7.14286e-05	0.999714	<1e-06	>71.4336
0,1,2,3,4,5,6,7,0,8,6,9,10,3,11,12	7.14286e-05	0.999786	1e-06	71.4336
0,1,2,3,4,5,6,7,4,8,7,9,10,9,11,12	7.14286e-05	0.999857	<1e-06	>71.4336
0,1,2,3,4,5,6,7,0,8,6,3,9,10,11,12	7.14286e-05	0.999929	<1e-06	>71.4336
0,1,2,3,4,5,6,7,8,9,6,10,3,11,0,12	7.14286e-05	1	<1e-06	>71.4336
