parameter	burnin	psrf	ess_concat	ess_0	ess_1	ess_2	ess_3	ess_4	ess_5	ess_6	ess_7	ess_8	ess_9
pop_size_Polillo5	1	0.999825980515787	2935.3277408996814	319.2595970706562	375.53169465988873	277.34116306064607	231.8779624949848	367.6512616863793	258.04634031926764	288.3268498900057	253.4536084173201	517.5083480510277	206.48398662990832
pop_size_Luzon5	1	0.9998948099741097	2634.235432752443	311.0444251299507	305.58287063331977	243.11508110541683	200.82747870601344	231.71452415167244	250.58017957469974	277.6903920256069	216.32827780334748	646.3874379247424	210.227727573756
pop_size_root_Polillo5	1	0.9999291599976217	5558.664034604126	1500.0	1319.6486776774216	496.9303049073801	838.4517096169404	950.0748977545405	539.211599965621	763.0794092847699	317.51585672303145	719.4898844282811	515.3658550046076
ln_likelihood_Panay6	1	0.9998880237704574	2609.2185871908187	280.637764540943	360.160075072599	334.44238008695027	293.4212490583031	535.2512713433132	200.398281941664	144.6593965025554	188.77356813753005	257.5884373814085	193.65236684267552
root_height_Panay6	1	1.000482141991086	3416.2426764293095	437.0816934747632	700.5100114151022	1291.947910894796	1500.0	1500.0	276.43315438044044	103.80464358834453	1500.0	256.4313878382628	612.3545432723894
pop_size_Panay6	1	0.9998468392440617	3037.2444967202437	500.0877502385381	486.2318681452983	276.5010513169428	338.5896202707621	398.4785366305298	230.51624219425787	205.0955163916382	265.00108668784156	451.2601992681427	252.46267364710283
pop_size_Negros6	1	1.000123736100938	1513.6698438507958	178.15805384376097	204.85320917193602	233.43533368079787	207.9502890391855	413.84799769621947	119.26361033009564	87.79915588148774	122.5711347156139	156.68915274814717	118.09678056368557
pop_size_root_Panay6	1	0.9999909361441796	5468.833729265548	841.6903391732827	716.6980458789074	1182.771467049385	394.61713185649484	616.7667492849274	1072.7136649923602	1500.0	332.3086390548892	1500.0	325.0603917489172
ln_likelihood_Sibuyan7	1	0.9998281526338758	3142.245860381967	256.4916828546575	280.53259362899144	399.948566939609	317.0342350712749	209.13429425208028	329.25862611317126	385.8173430437712	274.0225022973035	440.68399649905314	249.1441051005553
root_height_Sibuyan7	1	0.9998242944228276	13574.67412829935	478.37049031072206	1500.0	1500.0	1500.0	767.3067587150147	1500.0	1412.2232190288778	1500.0	1500.0	1500.0
pop_size_Sibuyan7	1	0.9999055023979897	1849.5992867929695	153.2096774484032	188.6535307553346	256.6269459843778	207.55346952116875	121.915486429943	185.8709467880296	243.35445378339256	198.2471550292488	282.1868339822088	137.61868792021892
pop_size_Tablas7	1	0.9998832834066143	2086.873253814	234.8430990699201	200.7275783003235	249.8988206646562	256.3483785765833	135.85006417182655	160.29720161815015	262.7568072984463	184.97119259384172	329.86322102984093	200.03460819586587
pop_size_root_Sibuyan7	1	0.9998414897648386	5921.476557919042	1500.0	406.1578173624332	1092.3758483246547	442.0415640528431	661.2877005919718	650.0469666795943	1198.3910333442925	368.23787451775837	713.7197238706758	523.8247393357383
ln_likelihood_BabuyanClaro8	1	0.9999195900119032	1888.0435667630093	214.48334515579933	204.50675225791792	172.49837763140644	134.49750387841468	122.08544245665483	294.45940545600695	266.8044767825337	209.60888057850568	224.16070467599354	126.41130538362829
root_height_BabuyanClaro8	1	1.000053150166096	1468.4997025534208	134.59698648063898	128.0495801915395	148.38884961187802	136.12885523531992	107.20942680599552	124.34932334850969	187.91448950212884	206.542357589884	157.9418889531394	94.90710504920037
pop_size_BabuyanClaro8	1	1.000060363760078	1590.3532745525201	172.2010590213517	170.9025408346349	160.15311695239998	112.6798699006928	109.34286409341672	247.3265922440932	229.97304506172978	181.45840436389474	190.1188001543184	111.350515503491
pop_size_Calayan8	1	1.000062101417402	1664.1921236552741	255.8281602265423	169.7589540966906	158.94423700467684	129.71680262281242	111.46892776312473	284.71045932515455	283.28445427037605	164.48579702136362	203.0573590336891	113.93436796584413
pop_size_root_BabuyanClaro8	1	0.9997910269936846	6913.417161838454	920.1379208436467	514.9746163749697	1487.2747327075836	573.7739823023944	631.173568186595	1008.2080295389699	1500.0	616.0090863962663	803.9655583556969	642.7720734051785
ln_likelihood_SouthGigante9	1	0.9998608326821855	3368.7455715218985	539.4488106980225	324.6416004669082	523.6832308136252	360.6247406300209	342.89366579375053	263.9684591677973	281.8384607408875	284.86577810262503	342.4154327489767	285.1452120720913
root_height_SouthGigante9	1	1.000197592454091	13827.41963915947	1132.9078035314576	674.4122051103968	740.7371082475499	909.7276678149501	1500.0	1110.1347410081341	903.9349191003495	888.0321722069639	1500.0	1298.8044569464198
