parameter	burnin	psrf	ess_concat	ess_0	ess_1	ess_2	ess_3	ess_4	ess_5	ess_6	ess_7	ess_8	ess_9
ln_likelihood_Luzon3	400	1.0003005608442006	5397.201799203873	1101.0	567.6608876173166	879.7960074645861	565.11970530499	795.0154637151277	489.9258247568787	1066.018413376343	609.4388910965228	754.9995030473656	629.9414502489608
root_height_Luzon3	400	1.0035167136736827	1863.7172994017326	786.5721176648901	125.05861763344788	231.53061754276254	265.20039697339666	418.9841712020553	158.94017841636835	360.43796172177133	243.74467293064265	224.7316404123788	121.00750212555606
pop_size_Luzon3	400	1.0073610150399583	1504.6444048192327	210.18385888841803	156.63217752843076	186.061911436445	139.53377894731773	332.6768558479857	156.23462502164207	149.10483734642233	258.07053101526026	197.28934194831763	183.9068665883604
pop_size_BabuyanClaro3	400	1.0028603376741223	2244.8303640059307	785.944725820187	153.33729673867893	221.0128849436129	328.2869548045774	464.8244062107628	212.74725221549312	350.7360083393904	326.6244201489403	283.35290667723706	146.76025181835448
pop_size_root_Luzon3	400	1.0004605067374452	6351.041604017109	1101.0	372.39531872770556	1074.7836136825085	671.696945661177	841.4936632917896	707.9761918330812	634.6305308446399	1058.9805945477467	588.8518713287326	457.1154845640378
ln_likelihood_Luzon4	400	1.0013484883542771	3955.647138232426	409.26716707902864	556.306793860119	452.49880039695717	346.275935362025	631.373447051455	446.1484645827629	353.013863584681	359.8588248766268	355.67739618654576	492.0346564413024
root_height_Luzon4	400	1.0010577237424618	3132.5819443386445	303.16732919286756	483.4343802860793	324.6757027606057	272.2089651568077	379.90291651806933	291.5224872990974	266.00110588055935	259.26562008709857	327.0122700105736	347.12518362612286
pop_size_Luzon4	400	1.0007085431475957	4492.586642858999	528.0188338984808	645.9361374933384	540.7988329492068	474.61726337055524	347.49605736025563	381.1983419204258	410.4282054840542	349.2633475018162	343.9270040078337	537.3616634426028
pop_size_CamiguinNorte4	400	1.0011973739961046	4007.1247765956728	518.1748575459974	617.5294680136029	529.3017763262744	303.20685678084527	623.1279888914154	442.33357179948376	375.33860709431605	389.6476391463842	414.9851344386937	579.557850815722
pop_size_root_Luzon4	400	1.000819595811144	5974.092227123337	496.84408581895195	633.9912100594477	482.0148419286428	595.5025825002848	715.9613241994526	716.8454044835115	576.3432943921842	580.7029880625706	524.8851752077401	682.8326085642966
ln_likelihood_Polillo5	400	0.9999782502259635	11010.0	1101.0	1101.0	766.1367152661805	1101.0	1010.2680814638376	861.1655888590624	1101.0	965.383907860856	970.3457343312065	1101.0
root_height_Polillo5	400	1.0003595689843285	9505.357176162632	776.844287700588	978.7949175979076	1101.0	830.0752912696494	884.5790889755815	757.4989800424254	1002.1340265766324	1101.0	1101.0	668.7189027442732
pop_size_Polillo5	400	1.0007723272728934	8879.983155560561	929.3079686558358	692.5515319008814	539.298135175426	1018.8976242031848	686.7163478906574	883.6923825304978	1101.0	911.2553260569181	895.7643490992217	720.2329970479934
pop_size_Luzon5	400	0.9998023225506848	8033.154974475624	723.1963309521162	1101.0	592.5268680794125	894.1909193223746	758.3887876920209	857.2919458957388	641.7499724777784	1101.0	873.0807164955733	709.2759733063594
pop_size_root_Polillo5	400	1.0005619647947144	9120.577277309741	834.6802844622503	904.6227940364125	1101.0	615.5384484276154	647.3870069052709	796.0611082076871	1072.8488632677593	1019.6075011915452	1101.0	758.1259469287677
