parameter	burnin	psrf	ess_concat	ess_0	ess_1	ess_2	ess_3	ess_4	ess_5	ess_6	ess_7	ess_8	ess_9
pop_size_Lubang11	1200	1.0007571730271376	2381.572309400648	301.0	110.52601367011067	147.66010296473604	213.59302458811763	264.67367550415287	181.10214836803726	245.9697486998747	143.44185976466687	280.4329272087879	205.56703303104126
pop_size_Luzon11	1200	1.0026278886484188	2293.823915563003	175.31970114543788	160.85712696435817	159.47606956385155	150.62925656891497	185.15979286577576	301.0	216.56939064997388	245.78003831650116	263.57522145129684	301.0
pop_size_root_Lubang11	1200	1.002932203493216	2405.4782395157777	240.80352409621395	213.47598199715915	271.3459446958485	235.17705438199613	301.0	246.10307438391783	210.21291186167772	301.0	210.52207019675495	301.0
ln_likelihood_Panay13	1200	1.0004390219357475	1992.4733639927551	123.51945434360833	277.26149398327243	256.4739993569088	265.388286396566	147.67322466596823	301.0	177.26856144014124	160.86120487581942	163.49242468892157	192.40501804282812
root_height_Panay13	1200	1.0011711480269674	2405.663561036284	170.97024491002526	301.0	160.21762118737777	298.67187094703104	183.96133762622773	301.0	150.00002282685944	156.79161651644986	265.62105198572664	301.0
pop_size_Panay13	1200	1.001671178371988	1763.75263669367	137.23802676139508	212.19531919839676	184.997276403616	165.01039444684162	130.79280972570237	276.3510745292504	183.14581571835814	142.42849968752665	134.30463976503276	297.1812794095343
pop_size_Masbate13	1200	1.0010753676115327	2152.142467139667	143.69703163393362	225.99935584480778	159.22463321191944	301.0	174.97641807753706	214.24172731357226	148.97122274658187	142.33769613449425	170.72592481423638	259.4685377281057
pop_size_root_Panay13	1200	0.9988116635690856	2391.1819806759913	253.4186636811746	301.0	301.0	273.97092677530895	269.887365042484	301.0	286.1216011869941	272.12131980685666	251.54545615001803	153.00594135396412
ln_likelihood_Negros14	1200	1.0009171409766104	2642.3728878494903	286.056918517337	199.21605555566586	112.15462160759719	301.0	184.5928979126114	144.52691598450733	243.79071537401464	160.31218382447813	244.11542423357983	283.95791737873043
root_height_Negros14	1200	1.000500858115121	2661.672626065899	215.6807851822411	166.46846947123188	158.80976130672687	301.0	164.4969280528715	189.07146176752036	126.29492290827025	152.70913660154116	206.3479396983339	301.0
pop_size_Negros14	1200	1.0021494426982052	1905.906664266217	151.51474828112472	157.81741687816915	169.18871956445574	176.32259759942593	199.2877360813745	152.51914439462738	143.84931878243046	141.27733746861938	195.21766165587184	301.0
pop_size_Panay14	1200	1.0013099625664	2310.4758971311812	274.27825314062693	192.39065615789733	105.63418401694743	301.0	166.0375899347831	181.29865959983718	252.52167081383936	191.5146708690688	279.2451105447684	301.0
pop_size_root_Negros14	1200	1.001386374716966	2442.12928670679	301.0	301.0	128.7490057599671	229.36322203523886	224.17348124947594	157.20996648746336	301.0	177.92791541924166	227.72793636864543	248.59145351856935
ln_likelihood_Sabtang15	1200	0.9992079009610275	3010.0	236.33407779670551	272.25798066093097	301.0	175.73824478006782	297.868880197241	219.27439519147387	273.68354138762396	301.0	210.93618156410017	148.12668717611254
root_height_Sabtang15	1200	1.001606645872669	3010.0	301.0	301.0	251.96871689205295	301.0	207.838839959323	301.0	301.0	301.0	121.25118471458998	196.31874371349014
pop_size_Sabtang15	1200	0.9997570484878104	2343.4478421169147	195.68656379243788	168.91853110387135	138.13157077276145	195.33929034915926	128.67745931229362	148.7331565329105	301.0	296.54953866151027	211.4080480057788	168.71383073596147
pop_size_Batan15	1200	1.0003348163601318	2392.9249609578833	301.0	121.29764046431502	301.0	238.06934692355148	287.55525555614946	301.0	203.87104256837392	199.91744753587528	110.38089412358563	161.3615364493331
pop_size_root_Sabtang15	1200	1.0016524881147388	3010.0	301.0	286.4009069803597	196.24296040426418	301.0	301.0	301.0	300.61822205546906	301.0	301.0	167.20699130110515
ln_likelihood_Romblon16	1200	1.001928821485574	1487.534216016034	107.34082444783652	121.3568534832932	142.74286626944397	176.20234580745256	124.33553868449307	124.60085368001205	162.02169829480084	144.8700159588798	123.01962500230917	131.70799141093823
root_height_Romblon16	1200	1.0048548655024483	1338.3187632544496	120.37907895264685	119.9111577361421	301.0	154.08393558633173	157.57255127911463	140.1560298613581	187.5324922750008	123.311902262799	118.04322886477024	221.85567528034935
pop_size_Romblon16	1200	1.0025618405360448	1041.0015333749495	140.0435760400034	129.4900105130544	150.55361744132878	299.6654843658958	115.6279371763839	108.36212732893853	87.35684982581712	157.33642319424123	143.59144386476285	119.77751233662106
pop_size_Tablas16	1200	1.0021561494187898	1205.4022482050073	79.98218277211232	105.53522662303153	289.8451613561302	128.52348272818858	156.7461999882555	179.93758245446273	138.12659269560987	96.68514264296243	111.4933288255756	159.19474103541535
